,x,y,ap1,ap2,ap3,ap4,ap5,ap6,label
190,1776,1039,-57.02012482393677,-59.21348269114074,-53.4534768677857,-55.27476481988418,-52.993798390707774,-45.289023930948886,59.054
192,1806,915,-53.936860521600494,-61.625727717518444,-51.34733992247662,-55.73602786384397,-55.8682653034531,-49.807024570487556,52.974000000000004
193,1810,851,-60.168046501468865,-56.6266906334189,-54.9392134144408,-54.56157070279248,-59.17368758962198,-57.45712369084351,49.79
195,1811,723,-60.91586173087849,-53.54891979121939,-49.6300781646384,-57.958394169914996,-79.34602678508843,-52.20976520805068,43.394
196,1808,659,-55.07590159890948,-60.359263771814085,-59.13253003846252,-66.70394524527164,-51.825493735040176,-63.45078542683079,40.182
198,1806,531,-55.87801665109998,-55.06609831980221,-44.21360496211463,-62.512743944020386,-53.12219994361438,-51.83233125058248,33.774
199,1793,468,-53.34707112767326,-61.45199276298446,-44.855776653335454,-57.237404343433795,-56.19270324100161,-52.73410301818656,30.572
201,1772,341,-56.652621979302765,-49.66938976796389,-46.19941080294522,-66.20373566975383,-54.11749164424335,-53.29975989109472,24.138
202,1777,277,-54.56236150662761,-52.020936266410764,-40.17561546260989,-54.18179591914739,-50.896768112158156,-60.0457962396426,20.958
204,1797,150,-53.41149101893039,-62.56625658370716,-34.355463155347316,-58.29655217781544,-57.377174879005636,-55.804540845056785,14.687999999999999
206,1829,117,-62.170421629792415,-50.82171546935022,-32.706229476988185,-78.91357061133883,-58.012390920258845,-64.67527342565634,13.166
208,1773,232,-57.80026058239751,-49.36987070478193,-40.390714948319996,-59.27105580065973,-51.28023613681192,-66.42637376785507,18.692
209,1738,287,-55.33531075126227,-51.733234829940926,-42.34636239186919,-55.40614907477148,-51.95793093104362,-52.76963927344273,21.302
212,1632,446,-53.5403324436688,-51.98507050537791,-43.49812635628365,-58.51513233673469,-54.27425680113733,-53.1293243549879,28.828
213,1591,496,-65.13352350912844,-51.73642559740053,-45.277041131229446,-64.4362809754466,-54.09212385933515,-52.32167599943771,31.164
214,1572,557,-53.45442536596639,-51.0025571539048,-51.77482268017015,-55.55211710208282,-58.77023362959964,-51.31036236034308,34.138000000000005
216,1579,683,-60.123254285694316,-54.14463701618213,-48.34738289392435,-54.81851374143513,-54.88593150290876,-62.8136664981928,40.466
217,1593,746,-56.680133006028484,-50.01775915464498,-49.37741661179266,-56.95941660927922,-49.19627882822355,-48.84313293976422,43.672
219,1655,858,-57.625017510158614,-53.02439909975013,-49.91822141855597,-59.2849473854989,-56.6844123378816,-51.94778287427262,49.519999999999996
223,1787,1077,-59.08586259971295,-61.018637477578736,-51.18516792396407,-57.75114940176107,-49.12450238774598,-42.4741903071886,60.998000000000005
224,1837,1116,-64.44967719433113,-56.381740397594704,-53.052700982952345,-55.85727592620667,-52.25175204591814,-44.4063884170918,63.147999999999996
225,1899,1133,-60.7985860411475,-56.11147826513273,-54.25378393621402,-61.68977992095664,-71.49569582278889,-41.76434387595232,64.246
227,1834,1244,-56.130450878969675,-54.49945878848141,-65.54443349525512,-54.62908600181969,-52.56972282792204,-39.14707278170188,69.536
228,1812,1304,-58.379982599724556,-56.26216479781892,-53.38767204218023,-64.51602889747882,-50.897688771628765,-38.654349281175335,72.44800000000001
229,1779,1359,-58.09346756656878,-55.018944801652594,-53.90195969888066,-54.442615536181336,-55.593884341687136,-36.2772480366153,75.066
231,1731,1330,-64.80711914255178,-80.13138323734812,-57.87409071963296,-57.136026056877114,-50.2446391260077,-41.99194104667329,73.424
232,1748,1269,-60.95385181960046,-57.345906501854756,-56.1595350490098,-57.4681835714224,-51.24963187001618,-46.00698613745422,70.44200000000001
235,1891,1162,-66.22382939476559,-55.939228380606316,-56.83708619693842,-64.32562911579103,-55.22700857391204,-45.04458067401246,65.664
236,1827,1161,-73.14581902848079,-64.48009011860736,-55.83335788980348,-61.312144265407994,-63.34783707366937,-44.78903893666215,65.358
237,1763,1163,-59.32396432094362,-57.922527551782665,-52.147643693169485,-61.28173752856313,-53.284725241840576,-47.53693600253201,65.202
239,1635,1169,-54.13598697305062,-66.46468537367141,-59.980170240352365,-56.842889931895314,-48.55301244507448,-41.91803875837175,64.99000000000001
240,1571,1160,-59.47836734042482,-57.66313538717438,-66.90958542361885,-55.50704879245343,-51.150349800871375,-47.748259804448274,64.284
241,1507,1169,-56.540364425327176,-53.40760687200637,-57.126914503425674,-53.80680132452937,-49.799400527262925,-46.04809879861571,64.47800000000001
243,1382,1159,-54.986149943806296,-55.267273471353846,-60.09417947643955,-62.152306186837095,-45.704657388013324,-49.56951943766279,63.478
244,1317,1156,-55.437265221751524,-52.85396997757988,-53.011593589325486,-55.64434627905921,-46.512750608615576,-56.67469317856408,63.068
245,1255,1142,-58.10270011843666,-55.32467133108363,-61.85086329207404,-51.66998834895803,-51.37600478237094,-53.53004901667559,62.120000000000005
247,1139,1089,-56.76321061545664,-55.36003670231054,-57.04662943404604,-57.72053966690056,-47.172297215765084,-50.25560025552265,59.006
248,1086,1052,-60.9268432544078,-58.175779385461006,-56.92772244725368,-55.1489810698649,-46.40678146355042,-53.33324113890537,56.944
250,988,969,-56.12223085535084,-75.38477022628948,-58.73097360464223,-53.19218478652445,-50.96845463801117,-66.22809466302346,52.402
252,881,901,-73.53051795244795,-53.18791405184646,-55.254847511363664,-57.08714562141009,-50.07818642160395,-59.56367851734189,48.574
253,848,846,-71.05467361215008,-50.74182589919574,-54.95522784735131,-51.44460866679961,-48.16244490286358,-51.48801429928987,45.692
255,779,738,-54.160604074394485,-52.147368488706846,-57.64374952700487,-61.6671517559826,-51.93926653462934,-65.68676574052905,40.016
