,ap1,ap2,ap3,ap4,ap5,ap6,x,y
280,-57.80174121837234,-55.98801713672721,-43.38517489813515,-65.60324581039133,-56.27719297397554,-52.60193337042147,1760,543
281,-63.79450105051393,-47.27533965012601,-46.014622742457334,-56.15782766021746,-53.53542452058652,-57.907745736480656,1339,250
282,-55.90265600912085,-54.83303609322607,-63.83673226551686,-71.49613767575701,-51.259475723974276,-45.66953266557367,1669,1404
284,-57.86843542664048,-53.13671792643876,-62.117855781936456,-53.74267045641755,-50.07833025740612,-36.69765979577554,1835,1325
286,-61.32471429555197,-49.98659845138015,-58.28782743551591,-54.133266399525304,-53.71727025780337,-54.553458216633786,1061,497
287,-55.44046768065458,-47.96438602159252,-50.00333027482184,-53.36406148844881,-61.90017755533752,-61.03188208041489,1064,532
288,-63.14459126180759,-53.088889161446076,-54.99021431089291,-57.39491835882913,-50.601039256338225,-51.46377142906417,526,762
289,-57.424902794001234,-52.288841381010215,-46.354577154929125,-53.33902860299263,-55.600066917848196,-49.554739992703745,1866,561
290,-54.51609456571801,-55.352560403978174,-54.463927331172954,-52.985602479861726,-48.55389035250713,-53.64782722242208,1347,968
291,-61.45873679634555,-54.437922577549884,-44.01748067962259,-56.46963345323023,-58.89507628861508,-50.64895839304356,1589,287
293,-55.313094852172554,-50.56604092399961,-67.24242955720312,-54.169130327989976,-50.45196487994051,-63.0837017699108,795,760
295,-62.82827999127798,-61.67730956821566,-50.12884524359896,-60.11460961142947,-56.16808980364125,-50.64003739578809,1658,766
296,-88.364243638193,-53.04444439586536,-47.73533801327613,-58.774598895331714,-57.39487698458268,-50.79381990204273,1365,252
297,-52.0979316984881,-52.408890249281626,-54.58064032787429,-54.199380192804725,-56.79746847488871,-60.02728375416656,1529,436
298,-49.42346465162578,-55.165200293089896,-59.3652144963961,-50.64907280597471,-56.55172402112595,-64.98425749672573,253,539
300,-55.94449250543075,-52.76502572850079,-56.6171020345709,-53.43380451468262,-48.163441367290794,-44.49621874069146,1620,1449
302,-52.07114840097948,-52.3268633889544,-57.10973360823385,-56.63172413858311,-56.22524706024442,-54.63055920624584,534,633
303,-51.771859631726606,-24.268352193724557,-53.7254361894609,-52.12063140438744,-55.648880447365265,-51.2348008058525,1005,72
306,-55.953052838440556,-56.091685698587625,-53.27833106648605,-55.11571846470527,-51.955113061302754,-54.684100815741985,730,745
308,-54.95469814191729,-47.4331212306802,-41.22029906082156,-67.4444672556711,-55.58423850147115,-72.12025903120066,1641,64
309,-55.116599927732665,-53.87453330280394,-52.67405283993285,-56.08511189602558,-51.998827002844635,-50.8296150512733,1646,861
312,-56.54504079869185,-57.956158202468615,-51.94652901484173,-60.839183402706325,-56.94853271479977,-44.45307814419215,1779,1044
313,-60.266812156725265,-58.55635270633647,-48.929139271576204,-54.01730010824263,-54.021073958842756,-53.803915479106585,1661,900
316,-55.17425254423654,-60.30130436625696,-70.53039243134896,-54.048599853038226,-51.76110927355264,-43.698932735136644,1522,1292
317,-58.39929851836558,-59.824304252653235,-60.49796785437883,-59.15363906501479,-48.419094074604125,-60.941350842469404,1235,1418
320,-60.295854856142824,-51.70414860634243,-64.6870812593594,-61.45696231228436,-51.27221119157015,-58.60052970853678,1068,566
326,-52.76656119076904,-59.44795218935682,-58.98537014669308,-43.368120631890605,-49.720054235187945,-65.21233767862562,47,1158
327,-59.31228382056894,-56.24928350055374,-61.58462626545065,-60.47266767426069,-54.00511468056508,-56.47142633451287,1010,863
