,ap1,ap2,ap3,ap4,ap5,ap6,x,y
164,-56.075613327807964,-58.886966304166165,-44.769752468213646,-61.189670472208405,-55.83473031374475,-58.478071657670824,1507,348
165,-26.149193892239282,-54.566690054267085,-59.870910705114284,-58.826047117506704,-56.37109047959581,-65.23473846280267,93,70
166,-48.634480086256325,-51.57007279290626,-52.13925252115955,-51.861833014381446,-62.263058227215566,-58.061191576973144,609,458
167,-46.78486458834926,-52.637016507288756,-58.050954365273924,-56.000238347234614,-54.036701202893894,-56.78861559416429,429,684
168,-60.41687560668559,-61.89708126499026,-51.83424253202146,-60.91459629468416,-32.852273262368456,-51.4525146102841,1069,1379
169,-50.35233318971166,-55.16452585182079,-56.844470649899854,-49.74498773091848,-55.909647332665315,-56.03365342628244,433,1271
170,-48.60373630504342,-48.006426748691965,-54.01602394755994,-59.65466872982289,-53.49864653320023,-56.16422604510623,644,301
171,-62.94031739683277,-61.151179160585315,-55.09770686866158,-64.93590041598844,-42.01473966637582,-55.65196927579375,814,1259
172,-61.773015408908236,-50.878520412723645,-60.56897972934728,-57.407542231674604,-55.546017615323436,-53.70847678179187,1087,657
173,-50.746726106529024,-44.781767674716384,-52.20000783133141,-57.26611089070005,-55.13951601134279,-54.36154983074317,832,395
174,-52.91389492098888,-55.940034467308124,-57.23922789612077,-49.98284319851262,-49.14587563626569,-55.89400214646539,687,870
175,-54.20351909205465,-53.192533832535005,-62.685295104874726,-51.573327983873966,-47.314248339677505,-52.28743471693163,448,1256
176,-49.66782537861597,-46.606675780567926,-57.55844119388318,-55.86600012121865,-65.61620524830603,-57.49220786453425,591,352
177,-56.33028781456332,-47.740896455616834,-47.86074654618699,-53.23263416920531,-60.923466700911945,-55.54058665298497,1536,477
178,-66.99634745150878,-54.885237428805866,-52.91755852671023,-56.82163803116117,-56.31452172863821,-39.32627430703802,1964,1185
179,-34.86621622063102,-54.639590671283706,-54.75497097328551,-52.734486303968296,-53.89839788561553,-61.147522284622895,146,41
180,-68.99645824513489,-57.90571787001631,-49.166948022329855,-52.18951714009701,-53.491753707073386,-48.85341246801178,1659,1033
181,-55.25068834690799,-44.95696182458193,-47.59234550749709,-53.51833743920193,-65.20319665162502,-56.5601142000947,1113,297
182,-65.92852135079673,-43.983596327782635,-48.73823733281718,-55.86783631432795,-54.34980394012851,-55.05909799453923,1323,248
183,-56.060822745156614,-56.771834059453084,-52.54236901780294,-51.7817977553997,-45.675815861188,-51.454821051133486,951,1139
184,-52.47647042611436,-59.14518706469173,-45.386000530296116,-62.1938100872395,-69.50838461331875,-55.39388347624998,1709,483
185,-63.96065300266167,-49.20868138851361,-55.260575577588384,-62.611406966669165,-48.131963158098266,-52.18206633490459,1199,762
186,-48.70275698541331,-46.42272333456585,-53.275828901996704,-53.084120419249004,-55.27596480867366,-53.3026436223717,594,315
187,-46.49293167146615,-45.252169560827596,-57.35940493007409,-69.95149338493468,-53.57190546666692,-61.37532374686528,591,187
188,-51.06165190613086,-57.978089049580376,-62.864760291758344,-64.57579863647841,-51.476189296992146,-57.95384550577842,775,573
189,-57.71010449580021,-49.167668921284225,-65.34561146646126,-52.29938534063586,-48.188552949068686,-50.56578550977652,1153,841
190,-63.025900063665446,-37.25740825784282,-50.106493211714664,-56.40755295761977,-65.03730611561086,-55.30589933266466,1059,189
191,-57.85728448901209,-55.04581190524435,-52.820055298115946,-53.48092527749189,-60.73523583428083,-44.491093262527855,1576,1462
192,-43.660846636949806,-58.4667931963955,-54.563081057508725,-51.8141580405169,-59.45662007576395,-56.738330628266496,255,511
193,-64.78739458150417,-39.335585911679715,-51.083579868195095,-54.63782011269555,-55.921287733217994,-52.41368004297712,1094,190
194,-53.93334742292737,-53.32399528585262,-57.76796510543396,-56.13241747096035,-50.466224382115016,-46.90543553052102,1892,1107
195,-52.657429424499625,-56.78580448779368,-51.16442797071415,-50.344799419017406,-45.90719767778669,-51.300438436490836,1357,1121
196,-57.29679159476004,-54.10306232306631,-41.53119107691563,-60.47525565299419,-55.50398623371134,-57.013476915627024,1945,305
197,-52.48452413808341,-50.91829689359169,-57.82373704716646,-55.382483776294876,-49.39407600247347,-53.675833867204474,656,744
198,-51.07039362367652,-49.89651607196987,-59.26143915140212,-59.31290011761021,-48.40843939905508,-66.7671978438572,1175,797
199,-60.205117952603175,-56.71833695226713,-57.21614530219845,-58.04749597774006,-45.17792186628641,-67.36640608800032,849,988
200,-53.02271265372618,-53.62587084522534,-60.85655344618809,-47.15977356030209,-48.536468079851986,-53.4014429139617,407,1178
201,-54.508317932553936,-40.26950176899916,-59.01589063217695,-52.1032586620788,-66.74635181997203,-53.590501028057,886,250
202,-38.36674183677835,-53.083308785706926,-60.86892598007515,-55.815884632530654,-56.43024657803187,-60.966138676993836,196,112
203,-56.003535403561564,-51.80941230122385,-69.42545079522453,-58.20913734738744,-53.98937413696068,-57.80710059770811,1348,1432
204,-53.19638282794407,-49.04741292668732,-63.07182834801962,-54.60362886946151,-59.23070751391454,-56.27733667892759,912,489
205,-63.61297216819196,-47.02379627113301,-47.45564837798159,-56.53236798583851,-55.685741342312284,-56.66438075772562,1604,178
206,-47.34551828076836,-65.96048787325327,-72.79818901788924,-50.580918707526514,-58.139181073325766,-60.92639479675293,402,292
207,-53.28095240004056,-57.116969077399354,-66.68094548492162,-51.79978898078235,-51.434164207008294,-46.83769204780107,1521,1089
208,-42.31798286483435,-49.38641473455878,-76.01212506882277,-60.85314883864092,-53.8993676269624,-60.58704237797119,189,314
209,-54.95638245789054,-46.6092649034244,-51.804318385717956,-54.31480234419267,-60.82068325955886,-57.66221919672098,874,384
210,-53.12025720440863,-58.28418298784432,-57.71023724475073,-49.98937579962931,-51.56436617243885,-54.96198430485724,535,1069
211,-50.95318506377077,-50.39749584309863,-60.26865669010948,-48.44473397927181,-55.002286151103505,-61.072710026119495,27,729
212,-54.154476055866894,-46.390518354736145,-50.89740755224335,-58.93311582352044,-58.56417055331875,-51.33029206344888,1257,32
213,-58.021584394873045,-48.22234387559096,-31.007230943018268,-59.72030396388797,-61.92385875826004,-58.03635553824261,1847,125
214,-57.559388996300086,-55.0523595987331,-54.02111421909078,-59.01911726123351,-56.56988314732409,-60.29688241393846,1494,167
215,-64.60785167782467,-40.530684649726695,-52.09893956417687,-55.65493753007602,-60.882200887505704,-57.06203282032394,1234,75
216,-56.948940591132526,-51.36404508123608,-46.13466862689745,-63.48101489556895,-56.79797624118345,-57.83941768808492,1806,370
217,-66.11042993081672,-47.861500260368985,-53.03367953062791,-48.14776602410022,-49.48383605058372,-62.43848486724916,656,775
218,-55.952374245211814,-59.292662979631984,-55.301104729558844,-36.3711999198247,-51.20971630976722,-65.75160604280147,20,1411
219,-69.43047253915879,-54.275948969359895,-59.5023476383319,-59.82909305864439,-53.47108356023874,-52.30352161561815,1025,629
220,-69.20508748007425,-48.67441957523194,-59.890549889018644,-59.53050546795788,-49.451028312392644,-52.03041291609543,835,700
221,-61.73530682563741,-58.9414754482198,-61.63509995136083,-58.43971026865128,-50.089919701709036,-57.39138167425889,925,932
222,-56.69827125852878,-56.96646767825591,-56.13230266197916,-51.11484751625932,-52.97674109310777,-50.97040139853451,1403,1014
223,-59.30391374756506,-55.46984088263975,-58.8950593625706,-56.12793898386968,-53.04263815180668,-57.45230141932048,483,1131
224,-50.59839795773797,-50.324219598752826,-63.078375015742196,-60.323262944596465,-62.713539622216686,-52.8212793034788,970,537
225,-61.94109526701166,-47.35795976195202,-54.75733425354762,-52.18387611088573,-55.516207976190785,-56.032718106390305,775,387
226,-54.69660338030812,-55.63920430749662,-54.41730803255464,-59.074294843399485,-42.51853400624193,-48.113843770983536,1319,1404
227,-40.73398332091959,-54.977235405664764,-60.00823594427487,-53.58799649360251,-60.17445459203779,-73.33051137109803,296,188
