,ap1,ap2,ap3,ap4,ap5,ap6,x,y
136,300,474,-47.17298654561755,-55.00380398441508,-54.602290483198075,-58.38148525197086,-60.1853067208271,-60.045694836330284
137,236,465,-44.58554776476889,-48.26193952171894,-55.62431460435552,-58.464568423535695,-55.96669690685044,-56.74429273587873
138,172,467,-44.91613149939579,-55.70434394181148,-58.6839924971774,-60.646084585075585,-55.25042556816733,-55.51334090932485
139,109,478,-46.47404702564845,-52.60335011976334,-60.34551281906327,-63.89156097306709,-58.799642477584996,-58.4752860545989
140,162,442,-44.591099788477074,-47.99620860779215,-62.38460249602814,-52.93800924456197,-53.58873457375009,-57.596988591966834
141,219,413,-46.50259556604199,-47.63773415345264,-55.723943788050164,-53.49279536565347,-61.72918688467085,-68.3877265269769
142,282,401,-44.191869356214085,-52.630199675695586,-54.62739069410947,-55.167147435813575,-53.499929967908464,-64.17556620866618
143,346,392,-47.898620704991686,-54.01277904345632,-55.83184107996055,-57.842927172063426,-54.800912041819586,-55.41712959976502
144,406,368,-46.38654115349048,-48.219215970863225,-56.3355750944003,-54.170896026407675,-60.346597839260895,-57.59263437505205
145,467,349,-56.154402376206235,-49.737520605302024,-54.40936347869424,-55.87630232758218,-60.07422814756745,-65.27481936476751
146,523,317,-45.81171905772422,-52.92240140507892,-53.385044441135875,-62.39659135230734,-55.42251622844474,-60.673851137560874
147,584,297,-50.91409502608709,-50.636586337488026,-54.27995404276417,-55.50155417771067,-58.685875196273535,-55.86355963519233
148,641,268,-51.9788169287697,-45.130494641943386,-59.56096934367109,-54.37366790937418,-51.26022557873355,-57.04681847295937
149,681,217,-48.07519461965636,-45.957748638773246,-54.367982724320754,-60.80778526125009,-54.97844115259966,-59.399544129919164
150,716,163,-65.57272643703108,-45.15305288120864,-61.75080145053853,-58.02963360453769,-52.385812345203774,-57.91727946128547
151,749,108,-49.48521839710349,-48.70472380803265,-54.00376651744649,-55.3050214485294,-55.87778780433668,-53.083262257419
152,784,162,-51.075792300343245,-44.01545334250467,-55.98812526373193,-54.00846228696773,-55.019554660341356,-53.59348838431899
153,837,199,-60.81940732775932,-46.17566852776755,-57.776786951703315,-64.77166217706989,-56.05514619467005,-55.34531286911884
154,884,242,-51.44882241687366,-41.70497634316405,-54.64753180318085,-50.88446179416184,-55.8793714453282,-56.871350527877446
155,930,288,-53.3583994502574,-39.83739263260371,-52.06276170612941,-55.06061174124402,-66.63138465817173,-55.629661864830425
156,980,328,-48.32111831883594,-46.6417725616824,-51.618386571712804,-57.42419634813538,-56.81413800532263,-54.9804262510284
157,1029,369,-55.82761946088105,-46.838142651154904,-49.59887267522348,-56.759889079888445,-63.116708865580804,-55.7040760622587
